State,Year,Real_GDP
Texas,2001,1020517
Utah,2001,100244.3
Vermont,2001,25681.8
Virginia,2001,386444.7
Washington,2001,317860.6
West Virginia,2001,63599.8
Wisconsin,2001,252941.8
Wyoming,2001,28338.1
Alabama,2002,172430.4
Alaska,2002,41904.7
Arizona,2002,238257.1
Arkansas,2002,98556.6
California,2002,1821509.5
Colorado,2002,243701.9
Connecticut,2002,234307.3
Delaware,2002,63702.5
Florida,2002,746252.8
Georgia,2002,427329.7
Hawaii,2002,62355.2
Idaho,2002,49840.5
Illinois,2002,692398.1
Indiana,2002,280723
Iowa,2002,131035.2
Kansas,2002,121050.5
Kentucky,2002,165435.3
Louisiana,2002,214856.1
Maine,2002,55406.5
Maryland,2002,290400.3
Massachusetts,2002,388451.6
Michigan,2002,465788.4
Minnesota,2002,268982.8
Mississippi,2002,94561.5
Missouri,2002,264997.7
Montana,2002,33663.8
Nebraska,2002,83433.2
Nevada,2002,120180.1
New Hampshire,2002,63474.2
New Jersey,2002,517752.2
New Mexico,2002,75345.9
New York,2002,1228580.8
North Carolina,2002,393685.9
North Dakota,2002,26592.1
Ohio,2002,546688.2
Oklahoma,2002,127930.2
Oregon,2002,147432.8
Pennsylvania,2002,583507.4
Rhode Island,2002,51284.3
South Carolina,2002,167333
South Dakota,2002,35776
Tennessee,2002,258542.4
Texas,2002,1042584.4
Utah,2002,102828.1
Vermont,2002,26522.8
Virginia,2002,390242.4
Washington,2002,321977.1
West Virginia,2002,64465.7
Wisconsin,2002,257966.9
Wyoming,2002,28901.3
Alabama,2003,178040
Alaska,2003,41235
Arizona,2003,253743.1
Arkansas,2003,102948
California,2003,1895287.6
Colorado,2003,246017.4
Connecticut,2003,236719.1
Delaware,2003,64316.8
Florida,2003,781834.2
Georgia,2003,439074.6
Hawaii,2003,65623.7
Idaho,2003,51542.6
Illinois,2003,703548.8
Indiana,2003,293045.2
Iowa,2003,137476.9
Kansas,2003,123486.7
Kentucky,2003,170481.9
Louisiana,2003,223576
Maine,2003,56882.4
Maryland,2003,297690.6
Massachusetts,2003,397069.9
Michigan,2003,477085.4
Minnesota,2003,280796.9
Mississippi,2003,98762.1
Missouri,2003,271970.5
Montana,2003,35249.5
Nebraska,2003,88310.7
Nevada,2003,125905.4
New Hampshire,2003,66119.4
New Jersey,2003,529815.9
New Mexico,2003,78766.8
New York,2003,1236563.1
North Carolina,2003,404582.5
North Dakota,2003,28326.7
Ohio,2003,557024.5
Oklahoma,2003,130147.8
Oregon,2003,154445.3
Pennsylvania,2003,598809.5
Rhode Island,2003,52933.1
South Carolina,2003,174270.8
South Dakota,2003,36141.9
Tennessee,2003,267589.4
Texas,2003,1052132.3
Utah,2003,104829.2
Vermont,2003,27548.1
Virginia,2003,404522.2
Washington,2003,327645.2
West Virginia,2003,65106.8
Wisconsin,2003,265745.8
Wyoming,2003,29806.6
Alabama,2004,189913.7
Alaska,2004,42880.1
Arizona,2004,264990
Arkansas,2004,108581.8
California,2004,1956745.5
Colorado,2004,250069.3
Connecticut,2004,252680.8
Delaware,2004,67735.5
Florida,2004,833946.8
Georgia,2004,461245.4
Hawaii,2004,69332
Idaho,2004,55137.1
Illinois,2004,726139
Indiana,2004,303819.8
Iowa,2004,149063.2
Kansas,2004,124793.2
Kentucky,2004,175344.6
Louisiana,2004,234620.8
Maine,2004,58934.8
Maryland,2004,311504.8
Massachusetts,2004,407886
Michigan,2004,485082.7
Minnesota,2004,293753.9
Mississippi,2004,101369.5
Missouri,2004,279128.2
Montana,2004,36949.9
Nebraska,2004,90607.6
Nevada,2004,139373
New Hampshire,2004,68428.1
New Jersey,2004,536174
New Mexico,2004,85751
New York,2004,1269433.1
North Carolina,2004,420579.4
North Dakota,2004,28636.2
Ohio,2004,572308.5
Oklahoma,2004,134606.6
Oregon,2004,163046.1
Pennsylvania,2004,614957.1
Rhode Island,2004,55160.5
South Carolina,2004,177169.4
South Dakota,2004,37616.6
Tennessee,2004,281564.2
Texas,2004,1111189.1
Utah,2004,111318.9
Vermont,2004,28989.2
Virginia,2004,421744.4
Washington,2004,335449.3
West Virginia,2004,66077.6
Wisconsin,2004,275412.4
Wyoming,2004,30780.1
Alabama,2005,197246.5
Alaska,2005,44406.8
Arizona,2005,283806.2
Arkansas,2005,112451.1
California,2005,2042141
Colorado,2005,261992.9
Connecticut,2005,258203.7
Delaware,2005,66381.2
Florida,2005,883164.5
Georgia,2005,480838.3
Hawaii,2005,72941.9
Idaho,2005,59331.9
Illinois,2005,741248.6
Indiana,2005,306344.6
Iowa,2005,153626.8
Kansas,2005,129588.2
Kentucky,2005,182017.9
Louisiana,2005,249560.9
Maine,2005,59589.7
Maryland,2005,325644.5
Massachusetts,2005,417075.6
Michigan,2005,493796.3
Minnesota,2005,301761.2
Mississippi,2005,103691.8
Missouri,2005,285341.7
Montana,2005,38849
Nebraska,2005,94556
Nevada,2005,150680.9
New Hampshire,2005,69556.1
New Jersey,2005,546357.8
New Mexico,2005,86295.9
New York,2005,1301438
North Carolina,2005,442305.6
North Dakota,2005,29629
Ohio,2005,584867.7
Oklahoma,2005,140360.1
Oregon,2005,168734.4
Pennsylvania,2005,626290.1
Rhode Island,2005,55885.9
South Carolina,2005,183267.5
South Dakota,2005,39330.6
Tennessee,2005,289064.3
Texas,2005,1143413.1
Utah,2005,118430.2
Vermont,2005,29283.2
Virginia,2005,442089.5
Washington,2005,358396.3
West Virginia,2005,67888.8
Wisconsin,2005,282065.7
Wyoming,2005,32463.1
Alabama,2006,199923.9
Alaska,2006,47546.2
Arizona,2006,296424.4
Arkansas,2006,114890.4
California,2006,2120435.4
Colorado,2006,268190.8
Connecticut,2006,269478.6
Delaware,2006,68411.8
Florida,2006,909298.9
Georgia,2006,487524.9
Hawaii,2006,74892.9
Idaho,2006,60738.6
Illinois,2006,759825.7
Indiana,2006,312525.5
Iowa,2006,155704.5
Kansas,2006,136135.8
Kentucky,2006,186332.6
Louisiana,2006,247139.7
Maine,2006,59986
Maryland,2006,329874
Massachusetts,2006,426926.1
Michigan,2006,483763.6
Minnesota,2006,302272.7
Mississippi,2006,105879.9
Missouri,2006,286558.3
Montana,2006,40055
Nebraska,2006,97322.8
Nevada,2006,156297.9
New Hampshire,2006,71424.5
New Jersey,2006,555211
New Mexico,2006,88554.5
New York,2006,1339568.5
North Carolina,2006,470663.9
North Dakota,2006,30911.4
Ohio,2006,582637.6
Oklahoma,2006,149367.1
Oregon,2006,177222.4
Pennsylvania,2006,626589.9
Rhode Island,2006,57415.8
South Carolina,2006,187386.1
South Dakota,2006,39961.6
Tennessee,2006,295668.2
Texas,2006,1225147.3
Utah,2006,127539.4
Vermont,2006,29420.9
Virginia,2006,451263.1
Washington,2006,372145
West Virginia,2006,68900
Wisconsin,2006,287146.6
Wyoming,2006,36655.6
Alabama,2007,202025.5
Alaska,2007,50126.7
Arizona,2007,306611.6
Arkansas,2007,114026.7
California,2007,2168940.4
Colorado,2007,278733.8
Connecticut,2007,278485.4
Delaware,2007,68132.4
Florida,2007,922288.3
Georgia,2007,492238.7
Hawaii,2007,76434.1
Idaho,2007,61812.1
Illinois,2007,769571.6
Indiana,2007,322661.7
Iowa,2007,162838.1
Kansas,2007,143586.6
Kentucky,2007,185790
Louisiana,2007,234216.4
Maine,2007,60032.6
Maryland,2007,331763.5
Massachusetts,2007,440373.8
Michigan,2007,482935.1
Minnesota,2007,304208
Mississippi,2007,107713.9
Missouri,2007,288320.8
Montana,2007,42057.7
Nebraska,2007,99780.7
Nevada,2007,157734.3
New Hampshire,2007,71943.5
New Jersey,2007,560823.8
New Mexico,2007,89392.3
New York,2007,1353798.9
North Carolina,2007,477920.8
North Dakota,2007,32529
Ohio,2007,585403
Oklahoma,2007,152879.6
Oregon,2007,180724.3
Pennsylvania,2007,649638.1
Rhode Island,2007,56230.5
South Carolina,2007,193386.6
South Dakota,2007,41646.2
Tennessee,2007,294819.8
Texas,2007,1288828.7
Utah,2007,133799.8
Vermont,2007,29296.6
Virginia,2007,457568.9
Washington,2007,394221.9
West Virginia,2007,69374.1
Wisconsin,2007,289855.2
Wyoming,2007,39504.8
Alabama,2008,200967.4
Alaska,2008,49926.6
Arizona,2008,302277.9
Arkansas,2008,113628
California,2008,2192331.8
Colorado,2008,281803.3
Connecticut,2008,277793.2
Delaware,2008,65771.3
Florida,2008,891766.9
Georgia,2008,481860.3
Hawaii,2008,76830.2
Idaho,2008,63878.2
Illinois,2008,759095.3
Indiana,2008,322384.3
Iowa,2008,160469.1
Kansas,2008,147265
Kentucky,2008,186515.9
Louisiana,2008,237061.6
Maine,2008,59845.1
Maryland,2008,338165.4
Massachusetts,2008,447526.8
Michigan,2008,455256.7
Minnesota,2008,309290.4
Mississippi,2008,109434
Missouri,2008,297881.8
Montana,2008,42049.3
Nebraska,2008,99860.1
Nevada,2008,152745.6
New Hampshire,2008,71195.6
New Jersey,2008,573202.7
New Mexico,2008,89012.9
New York,2008,1328095.7
North Carolina,2008,492688.8
North Dakota,2008,35030.4
Ohio,2008,580389
Oklahoma,2008,158987.8
Oregon,2008,184842.6
Pennsylvania,2008,665148.3
Rhode Island,2008,54977.1
South Carolina,2008,192497.1
South Dakota,2008,43278.5
Tennessee,2008,298526.9
Texas,2008,1287191.5
Utah,2008,133662.9
Vermont,2008,30168.6
Virginia,2008,462034.7
Washington,2008,401093.2
West Virginia,2008,70966.8
Wisconsin,2008,286204.7
Wyoming,2008,41641.2
Alabama,2009,194192.1
Alaska,2009,54951.9
Arizona,2009,277412.4
Arkansas,2009,109833.1
California,2009,2110679.4
Colorado,2009,275659.1
Connecticut,2009,265530.8
Delaware,2009,69186.2
Florida,2009,840480.6
Georgia,2009,464016.8
Hawaii,2009,74118.5
Idaho,2009,61276.1
Illinois,2009,740794.3
Indiana,2009,299789
Iowa,2009,156737.2
Kansas,2009,141902.5
Kentucky,2009,178112.8
Louisiana,2009,241868.8
Maine,2009,58771.8
Maryland,2009,336285.8
Massachusetts,2009,441307.6
Michigan,2009,416297.1
Minnesota,2009,296875.2
Mississippi,2009,105360
Missouri,2009,289566.8
Montana,2009,40938.4
Nebraska,2009,99986.4
Nevada,2009,140304.3
New Hampshire,2009,70498.6
New Jersey,2009,546362.2
New Mexico,2009,90829.2
New York,2009,1379504.6
North Carolina,2009,473610.5
North Dakota,2009,35971.3
Ohio,2009,550982.4
Oklahoma,2009,156856.8
Oregon,2009,176951.6
Pennsylvania,2009,645206.7
Rhode Island,2009,54481.5
South Carolina,2009,184081.3
South Dakota,2009,44255.8
Tennessee,2009,287308.8
Texas,2009,1285560.2
Utah,2009,130958.6
Vermont,2009,29565.7
Virginia,2009,460075.3
Washington,2009,390814
West Virginia,2009,70886.5
Wisconsin,2009,277279.4
Wyoming,2009,40599.6
Alabama,2010,199455
Alaska,2010,53652
Arizona,2010,282252.5
Arkansas,2010,113000.9
California,2010,2153852.8
Colorado,2010,279385.6
Connecticut,2010,266773.4
Delaware,2010,68291.9
Florida,2010,851956.4
Georgia,2010,471588.2
Hawaii,2010,76130.2
Idaho,2010,62626.4
Illinois,2010,755391.4
Indiana,2010,320731.8
Iowa,2010,161593.1
Kansas,2010,143870.1
Kentucky,2010,186720.6
Louisiana,2010,253466.9
Maine,2010,59958.5
Maryland,2010,352622.9
Massachusetts,2010,462330.8
Michigan,2010,441271.5
Minnesota,2010,308091.9
Mississippi,2010,106711.8
Missouri,2010,295986.4
Montana,2010,42469.8
Nebraska,2010,103940.8
Nevada,2010,142614.2
New Hampshire,2010,72950.4
New Jersey,2010,554764.4
New Mexico,2010,90721
New York,2010,1431624
North Carolina,2010,482030.4
North Dakota,2010,38697.4
Ohio,2010,563816.3
Oklahoma,2010,158086.4
Oregon,2010,180738.2
Pennsylvania,2010,666805.8
Rhode Island,2010,56050.6
South Carolina,2010,188777.2
South Dakota,2010,44810.7
Tennessee,2010,292687
Texas,2010,1323059.1
Utah,2010,133739.1
Vermont,2010,30890.6
Virginia,2010,475699.3
Washington,2010,403471.3
West Virginia,2010,71823.8
Wisconsin,2010,287652.9
Wyoming,2010,39135.8
Alabama,2011,201372.8
Alaska,2011,54045.5
Arizona,2011,290411.3
Arkansas,2011,115241.8
California,2011,2192887.2
Colorado,2011,283963.8
Connecticut,2011,261555.8
Delaware,2011,71103.5
Florida,2011,849395.3
Georgia,2011,481215.4
Hawaii,2011,77174.2
Idaho,2011,62704
Illinois,2011,772225.6
Indiana,2011,321532.8
Iowa,2011,164559.3
Kansas,2011,147836.8
Kentucky,2011,188389.8
Louisiana,2011,241235.9
Maine,2011,59429.7
Maryland,2011,360155.9
Massachusetts,2011,472664.3
Michigan,2011,453989.1
Minnesota,2011,315213.3
Mississippi,2011,106491.1
Missouri,2011,292984.2
Montana,2011,43532.2
Nebraska,2011,109734.2
Nevada,2011,144341.2
New Hampshire,2011,73465
New Jersey,2011,548479.3
New Mexico,2011,90552.3
New York,2011,1440346.8
North Carolina,2011,484200.3
North Dakota,2011,43300.4
Ohio,2011,580251.4
Oklahoma,2011,163859.3
Oregon,2011,185959.4
Pennsylvania,2011,676468.3
Rhode Island,2011,56026.6
South Carolina,2011,193221
South Dakota,2011,47630.3
Tennessee,2011,301508.9
Texas,2011,1370174.9
Utah,2011,138301.1
Vermont,2011,31663.6
Virginia,2011,479571.4
Washington,2011,411575.7
West Virginia,2011,73175.2
Wisconsin,2011,293664
Wyoming,2011,38929.8
Alabama,2012,203675.5
Alaska,2012,57087.4
Arizona,2012,297077.3
Arkansas,2012,116616.2
California,2012,2255437.3
Colorado,2012,289339.5
Connecticut,2012,263649.9
Delaware,2012,70562.4
Florida,2012,857861.3
Georgia,2012,489027.3
Hawaii,2012,78694
Idaho,2012,62007.3
Illinois,2012,790723.3
Indiana,2012,323876.2
Iowa,2012,170923.7
Kansas,2012,150077.1
Kentucky,2012,192060.1
Louisiana,2012,242416.8
Maine,2012,59181.7
Maryland,2012,361561.8
Massachusetts,2012,483286.3
Michigan,2012,463302.6
Minnesota,2012,321053.9
Mississippi,2012,108646.5
Missouri,2012,296514.3
Montana,2012,44329.1
Nebraska,2012,109686.3
Nevada,2012,142986.1
New Hampshire,2012,74082.8
New Jersey,2012,560729.7
New Mexico,2012,90762.4
New York,2012,1496280.1
North Carolina,2012,488126.5
North Dakota,2012,53326.8
Ohio,2012,586540.9
Oklahoma,2012,172016
Oregon,2012,187352.4
Pennsylvania,2012,689007
Rhode Island,2012,56487.4
South Carolina,2012,195406.1
South Dakota,2012,48653.9
Tennessee,2012,311754.2
Texas,2012,1438354.4
Utah,2012,140622.5
Vermont,2012,31898.1
Virginia,2012,483041.4
Washington,2012,426447
West Virginia,2012,73124.5
Wisconsin,2012,299007.6
Wyoming,2012,38085
Alabama,2013,206962.9
Alaska,2013,54627.6
Arizona,2013,298859.9
Arkansas,2013,119842.8
California,2013,2340335.3
Colorado,2013,301484.1
Connecticut,2013,258911
Delaware,2013,68656.8
Florida,2013,880183.5
Georgia,2013,499900.2
Hawaii,2013,80534.9
Idaho,2013,64769.8
Illinois,2013,795435.2
Indiana,2013,333207.4
Iowa,2013,171069.1
Kansas,2013,150702.9
Kentucky,2013,196698
Louisiana,2013,236482.3
Maine,2013,59013.9
Maryland,2013,364633.2
Massachusetts,2013,486991.8
Michigan,2013,472779.9
Minnesota,2013,329774.5
Mississippi,2013,109032.7
Missouri,2013,302025.7
Montana,2013,45114.7
Nebraska,2013,111382.2
Nevada,2013,144549.3
New Hampshire,2013,75503.4
New Jersey,2013,570952.4
New Mexico,2013,90104
New York,2013,1501818
North Carolina,2013,497456.6
North Dakota,2013,54690.9
Ohio,2013,603057.4
Oklahoma,2013,176086.8
Oregon,2013,189609.7
Pennsylvania,2013,704195
Rhode Island,2013,57037.2
South Carolina,2013,200147.3
South Dakota,2013,48610.1
Tennessee,2013,318347.9
Texas,2013,1511806.5
Utah,2013,145026.9
Vermont,2013,31494.6
Virginia,2013,488741.3
Washington,2013,439472.2
West Virginia,2013,73949
Wisconsin,2013,301550.5
Wyoming,2013,38408.7
Alabama,2014,206070
Alaska,2014,53303.3
Arizona,2014,301721.2
Arkansas,2014,121409.4
California,2014,2428675.7
Colorado,2014,315399
Connecticut,2014,260605.8
Delaware,2014,73961.7
Florida,2014,905648.5
Georgia,2014,517511.9
Hawaii,2014,81304.9
Idaho,2014,66784.9
Illinois,2014,811490.1
Indiana,2014,343827.8
Iowa,2014,180309.9
Kansas,2014,154110.1
Kentucky,2014,196795.8
Louisiana,2014,243042.9
Maine,2014,59589.8
Maryland,2014,370343.9
Massachusetts,2014,496250.9
Michigan,2014,479534.9
Minnesota,2014,338623.9
Mississippi,2014,109299.6
Missouri,2014,303617.8
Montana,2014,46166.7
Nebraska,2014,115651.9
Nevada,2014,145303.6
New Hampshire,2014,76836.2
New Jersey,2014,570696.4
New Mexico,2014,92621.1
New York,2014,1535375.9
North Carolina,2014,509782.4
North Dakota,2014,60193
Ohio,2014,624973.4
Oklahoma,2014,186574.4
Oregon,2014,195808.2
Pennsylvania,2014,718691.6
Rhode Island,2014,57602.7
South Carolina,2014,206077.9
South Dakota,2014,49640.9
Tennessee,2014,323879.6
Texas,2014,1559636.1
Utah,2014,150076.3
Vermont,2014,31847.7
Virginia,2014,488918.6
Washington,2014,456186.5
West Virginia,2014,74111.3
Wisconsin,2014,309425.8
Wyoming,2014,39287.2
Alabama,2015,208950.3
Alaska,2015,53681.1
Arizona,2015,308582.8
Arkansas,2015,121532.5
California,2015,2545979.5
Colorado,2015,330526.1
Connecticut,2015,268869.8
Delaware,2015,76211.2
Florida,2015,945929
Georgia,2015,540108.5
Hawaii,2015,83857.6
Idaho,2015,67790.5
Illinois,2015,825424.9
Indiana,2015,341205.2
Iowa,2015,185989.2
Kansas,2015,158602.6
Kentucky,2015,199487.1
Louisiana,2015,239584.1
Maine,2015,60563
Maryland,2015,378745.9
Massachusetts,2015,514398.7
Michigan,2015,490618.7
Minnesota,2015,345456.2
Mississippi,2015,109401.7
Missouri,2015,308009.9
Montana,2015,47765.6
Nebraska,2015,119640.8
Nevada,2015,151055.9
New Hampshire,2015,79319.3
New Jersey,2015,581414.9
New Mexico,2015,93503.9
New York,2015,1565835.2
North Carolina,2015,525229.1
North Dakota,2015,58694.5
Ohio,2015,633274.8
Oklahoma,2015,193792.6
Oregon,2015,205581.8
Pennsylvania,2015,734145.1
Rhode Island,2015,58387.9
South Carolina,2015,213212.4
South Dakota,2015,50860.8
Tennessee,2015,335461.1
Texas,2015,1634127.1
Utah,2015,155431.5
Vermont,2015,32042.9
Virginia,2015,498943.6
Washington,2015,476715.4
West Virginia,2015,74261.4
Wisconsin,2015,315687.8
Wyoming,2015,40063.9
Alabama,2016,212862.8
Alaska,2016,53463.9
Arizona,2016,319008.4
Arkansas,2016,123034.9
California,2016,2623711.7
Colorado,2016,337685.2
Connecticut,2016,268196.2
Delaware,2016,71941.4
Florida,2016,978989.7
Georgia,2016,561718.3
Hawaii,2016,85670.4
Idaho,2016,70442.5
Illinois,2016,826404.7
Indiana,2016,348439.2
Iowa,2016,186729.9
Kansas,2016,164643.7
Kentucky,2016,201007.2
Louisiana,2016,235554.2
Maine,2016,62037.1
Maryland,2016,391950.9
Massachusetts,2016,521662.8
Michigan,2016,500159.5
Minnesota,2016,350603.6
Mississippi,2016,109911
Missouri,2016,308423.3
Montana,2016,47189.6
Nebraska,2016,121303.1
Nevada,2016,156007.4
New Hampshire,2016,80736.1
New Jersey,2016,587049.7
New Mexico,2016,93043.5
New York,2016,1590567.8
North Carolina,2016,536308.5
North Dakota,2016,54756
Ohio,2016,638157.5
Oklahoma,2016,190093.5
Oregon,2016,214769.3
Pennsylvania,2016,744847.1
Rhode Island,2016,58630
South Carolina,2016,220559.3
South Dakota,2016,51264.3
Tennessee,2016,343544.9
Texas,2016,1633863.3
Utah,2016,162528.2
Vermont,2016,32312.7
Virginia,2016,505107.7
Washington,2016,495724.9
West Virginia,2016,73513.3
Wisconsin,2016,319272.3
Wyoming,2016,37853.5
Alabama,2017,216615.5
Alaska,2017,53550.9
Arizona,2017,333099
Arkansas,2017,123882.6
California,2017,2740550.3
Colorado,2017,350209.1
Connecticut,2017,273875.1
Delaware,2017,69555.6
Florida,2017,1014866.9
Georgia,2017,583543.3
Hawaii,2017,87436.4
Idaho,2017,72935.1
Illinois,2017,832826.8
Indiana,2017,357535.8
Iowa,2017,187125
Kansas,2017,166273.6
Kentucky,2017,203564
Louisiana,2017,239830.7
Maine,2017,63000.6
Maryland,2017,399714.5
Massachusetts,2017,530129.4
Michigan,2017,505101.5
Minnesota,2017,354721.9
Mississippi,2017,110281.4
Missouri,2017,311273.8
Montana,2017,48470.5
Nebraska,2017,123219.9
Nevada,2017,163199.1
New Hampshire,2017,81179.6
New Jersey,2017,590086.7
New Mexico,2017,93210.1
New York,2017,1624800.7
North Carolina,2017,546810.1
North Dakota,2017,56530.2
Ohio,2017,652187.5
Oklahoma,2017,192538.6
Oregon,2017,225534.5
Pennsylvania,2017,754318
Rhode Island,2017,58771.6
South Carolina,2017,224937.6
South Dakota,2017,51615.1
Tennessee,2017,355417.5
Texas,2017,1667313
Utah,2017,172075
Vermont,2017,32589.2
Virginia,2017,515167.2
Washington,2017,527169.4
West Virginia,2017,75172.4
Wisconsin,2017,321886.8
Wyoming,2017,37620.3
Alabama,2018,220808.8
Alaska,2018,52479.6
Arizona,2018,346398.3
Arkansas,2018,126371.2
