Product ,Flow,State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
990--Other Special Classification Provisions,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910--Waste And Scrap,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324--Petroleum & Coal Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323--Printed Matter & Related Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321--Wood Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314--Textile Mill Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312--Beverages & Tobacco Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311--Processed Foods,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112--Livestock & Livestock Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111--Agricultural Products,Imports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Exports,Alaska,8.0,13.0,12.0,9.0,7.0,10.0,8.0,36.0,21.0,33.0,23.0,23.0,26.0,27.0,47.0,31.0
324--Petroleum & Coal Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
331--Primary Metal Manufactures,Exports,Alaska,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0
325--Chemicals,Exports,Alaska,0.0,1.0,3.0,1.0,0.0,1.0,1.0,14.0,1.0,4.0,1.0,1.0,2.0,5.0,7.0,4.0
"333--Machinery, Except Electrical",Exports,Alaska,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,6.0,3.0,3.0,3.0
336--Transportation Equipment,Exports,Alaska,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,11.0,2.0,2.0,2.0,4.0,9.0,2.0
313--Textiles & Fabrics,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0
339--Miscellaneous Manufactures,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
332--Fabricated Metal Products,Exports,Alaska,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0
"335--Electrical Equipment, Appliances & Components",Exports,Alaska,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0
326--Plastics & Rubber Products,Exports,Alaska,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
334--Computer & Electronic Products,Exports,Alaska,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,6.0,1.0,5.0,1.0
311--Processed Foods,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0
322--Paper,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0
316--Leather & Allied Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337--Furniture & Fixtures,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321--Wood Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930--Used Or Second-Hand Merchandise,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111--Agricultural Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,7.0,0.0
314--Textile Mill Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327--Nonmetallic Mineral Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
323--Printed Matter & Related Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910--Waste And Scrap,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
315--Apparel & Accessories,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990--Other Special Classification Provisions,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
920--Used Or Second-Hand Merchandise,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312--Beverages & Tobacco Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212--Minerals & Ores,Exports,Alaska,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
211--Oil & Gas,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114--Fish & Other Marine Products,Exports,Alaska,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
112--Livestock & Livestock Products,Exports,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--All Merchandise,Imports,Arizona,4634.0,5631.0,6167.0,6753.0,7037.0,7310.0,7641.0,7447.0,7893.0,8996.0,9269.0,8954.0,9353.0,10867.0,11754.0,11615.0
111--Agricultural Products,Imports,Arizona,1709.0,2204.0,2118.0,2281.0,2309.0,2290.0,2115.0,2362.0,2140.0,2336.0,2676.0,2696.0,2743.0,3110.0,3395.0,3586.0
334--Computer & Electronic Products,Imports,Arizona,363.0,368.0,410.0,550.0,601.0,641.0,802.0,755.0,858.0,1217.0,1238.0,1050.0,932.0,1203.0,1415.0,1484.0
"335--Electrical Equipment, Appliances & Components",Imports,Arizona,310.0,345.0,483.0,526.0,522.0,649.0,833.0,806.0,1173.0,1526.0,1396.0,1189.0,1402.0,1688.0,1829.0,1395.0
336--Transportation Equipment,Imports,Arizona,443.0,819.0,974.0,944.0,1006.0,1086.0,1122.0,1003.0,1097.0,915.0,975.0,848.0,986.0,1164.0,1619.0,1313.0
"333--Machinery, Except Electrical",Imports,Arizona,522.0,523.0,439.0,645.0,662.0,613.0,651.0,614.0,600.0,613.0,772.0,741.0,629.0,840.0,828.0,946.0
339--Miscellaneous Manufactures,Imports,Arizona,295.0,314.0,283.0,231.0,314.0,382.0,299.0,164.0,151.0,387.0,412.0,425.0,283.0,270.0,309.0,481.0
112--Livestock & Livestock Products,Imports,Arizona,96.0,95.0,106.0,136.0,120.0,144.0,166.0,139.0,180.0,185.0,163.0,241.0,220.0,196.0,359.0,427.0
980--Goods Returned (Exports and Imports) and Reimports - Canada Only,Imports,Arizona,284.0,244.0,250.0,258.0,225.0,219.0,247.0,207.0,275.0,314.0,351.0,349.0,279.0,390.0,418.0,422.0
311--Processed Foods,Imports,Arizona,67.0,80.0,100.0,120.0,119.0,126.0,139.0,161.0,155.0,154.0,212.0,234.0,320.0,373.0,310.0,337.0
332--Fabricated Metal Products,Imports,Arizona,82.0,84.0,100.0,185.0,131.0,86.0,85.0,86.0,86.0,143.0,96.0,109.0,146.0,237.0,240.0,180.0
331--Primary Metal Manufactures,Imports,Arizona,85.0,146.0,487.0,443.0,493.0,442.0,421.0,337.0,341.0,335.0,209.0,431.0,702.0,468.0,150.0,170.0
326--Plastics & Rubber Products,Imports,Arizona,25.0,31.0,23.0,24.0,40.0,51.0,76.0,61.0,70.0,70.0,56.0,53.0,100.0,158.0,142.0,168.0
327--Nonmetallic Mineral Products,Imports,Arizona,34.0,33.0,34.0,27.0,19.0,38.0,99.0,97.0,93.0,100.0,34.0,35.0,52.0,155.0,167.0,152.0
337--Furniture & Fixtures,Imports,Arizona,81.0,86.0,76.0,88.0,119.0,137.0,163.0,189.0,195.0,194.0,198.0,156.0,202.0,195.0,167.0,144.0
325--Chemicals,Imports,Arizona,20.0,31.0,41.0,41.0,105.0,114.0,83.0,87.0,119.0,118.0,111.0,134.0,108.0,134.0,119.0,135.0
312--Beverages & Tobacco Products,Imports,Arizona,4.0,6.0,5.0,7.0,10.0,59.0,65.0,89.0,78.0,62.0,29.0,41.0,20.0,27.0,47.0,66.0
322--Paper,Imports,Arizona,22.0,13.0,6.0,20.0,11.0,13.0,14.0,11.0,13.0,11.0,11.0,19.0,35.0,72.0,71.0,55.0
314--Textile Mill Products,Imports,Arizona,104.0,124.0,116.0,112.0,114.0,114.0,95.0,90.0,80.0,57.0,40.0,48.0,37.0,42.0,42.0,37.0
313--Textiles & Fabrics,Imports,Arizona,5.0,4.0,4.0,4.0,4.0,5.0,8.0,12.0,12.0,15.0,23.0,25.0,32.0,33.0,37.0,34.0
321--Wood Products,Imports,Arizona,3.0,5.0,6.0,8.0,11.0,8.0,7.0,5.0,5.0,7.0,9.0,10.0,22.0,36.0,28.0,20.0
910--Waste And Scrap,Imports,Arizona,8.0,12.0,13.0,8.0,6.0,13.0,7.0,6.0,11.0,11.0,14.0,17.0,28.0,18.0,18.0,17.0
212--Minerals & Ores,Imports,Arizona,2.0,2.0,23.0,22.0,20.0,2.0,2.0,3.0,33.0,92.0,151.0,4.0,8.0,7.0,10.0,16.0
315--Apparel & Accessories,Imports,Arizona,13.0,17.0,20.0,21.0,21.0,21.0,57.0,75.0,35.0,34.0,9.0,6.0,8.0,7.0,5.0,10.0
114--Fish & Other Marine Products,Imports,Arizona,40.0,36.0,22.0,14.0,13.0,17.0,42.0,43.0,49.0,44.0,43.0,35.0,21.0,24.0,15.0,8.0
316--Leather & Allied Products,Imports,Arizona,10.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0
323--Printed Matter & Related Products,Imports,Arizona,7.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0
930--Used Or Second-Hand Merchandise,Imports,Arizona,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
211--Oil & Gas,Imports,Arizona,0.0,2.0,7.0,4.0,3.0,7.0,2.0,6.0,4.0,11.0,1.0,2.0,5.0,10.0,4.0,1.0
113--Forestry Products,Imports,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
324--Petroleum & Coal Products,Imports,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
